Возраст;Местный;Символ города;Слава Кургана и области;Регион;Сибирь или Урал;Другие города;Казахстан;Когда был(а) в Казахстане?
30;Да;2 холма;"история; 2 холма; хорошие люди";Сибирь;Сибирь;Уральские города;Да;1-5 лет
60;Да;2 холма;"военная техника; СХ; автобусы; первые обрабатывающие станки; лекарства";Зауралье;Зауралье;многие;Да;1-5 лет
30;Да;церковь Александра Невского;"оборонка; СХ";УФО;между;"Екатеринбург; Новосибирск";Да;6-25 лет
35;Нет;затрудняется;оборонка;Южный Урал;Урал;"Тюмень; Екатеринбург";Да;Менее месяца
70;Да;городской сад;"Илизаров; Витебский";Зауралье;Урал;"Ташкент; Екатеринбург; Кизел; Пышма; Асбест";Да;6-25 лет
35;Да;площадь;"полезные ископаемые; Илизаров; художники";Сибирь;Сибирь;"Красноярск; Челябинск";Нет;
65;Да;центр Илизарова;Илизаров;Зауралье;Урал;"Екатеринбург; Уральские города";Нет;
28;Да;центр Илизарова;"завод КМЗ; завод СтальМост";Урал;Урал;;Да;6-25 лет
35;Да;площадь;центр Илизарова;Зауралье;Урал;Уральские города;Нет;
65;Нет;"2 холма; набережная";;Зауралье;Урал;многие;Да;Менее года
50;Да;центр Илизарова;"Илизаров; Мальцев";Уральский;Урал;многие;Да;В 90-е
40;Да;нет такого;Мальцев;Зауралье;Сибирь;"Екатеринбург; Тюмень; Шадринск; Челябинск";Да;Во время СССР
37;Да;центр Илизарова;"СХ; Илизаров; добыча урана";Уральский;Урал;многие;Да;Менее года
88;Да;родная школа;"Илизаров; СХ";Зауралье;Зауралье;"Оренбург; Екатеринбург; Челябинск";Да;Во время СССР
30;Да;центр Илизарова;Илизаров;Зауралье;Урал;Тюмень;Нет;
30;Да;Царево городище;"озеро Медвежка; лечебная грязь; Илизаров; завод СтальМост; пиво";УФО;Урал;многие;Нет;
19;Да;хоккейный клуб;центр Илизарова;Урал;Урал;"Уральские города; Южные города";Да;Менее года
28;Да;нет такого;затрудняется;Урал;Урал;многие;Да;Менее года
47;Да;"площадь; вечный огонь";"Илизаров; Мальцев; хоккейная команда";не Урал и не Сибирь;Урал;Екатеринбург;Нет;
35;Да;площадь;"центр Илизарова; СХ";Урал;Урал;Уральские города;Да;6-25 лет
50;Да;"КМЗ; СХ; центр Илизарова";"КМЗ; СХ; центр Илизарова; хорошие люди";Сибирь;Сибирь;многие;Да;Во время СССР
45;Да;2 холма;СХ;Зауралье;Урал;"Тюмень; Екатеринбург";Нет;
45;Да;2 холма;Илизаров;Зауралье;Урал;Екатеринбург;Нет;
35;Да;природа;Витебский;Зауралье;Урал;Челябинск;Нет;
55;Да;затрудняется;военная техника;Зауралье;Урал;Тюмень;Нет;
75;Да;2 холма;медицина;Зауралье;Урал;Челябинск;Нет;
35;Да;затрудняется;врачи;Зауралье;Урал;Москва;Да;Менее года
20;Да;2 холма;СХ;Зауралье;Урал;Челябинск;Нет;
55;Да;затрудняется;оборонка;Зауралье;Урал;Тюмень;Нет;
55;Да;затрудняется;Илизаров;Зауралье;Урал;Екатеринбург;Да;1-5 лет
75;Да;набережная;декабристы;Зауралье;Урал;Москва;Нет;
30;Да;2 холма;дом Розанова;Зауралье;Урал;"Челябинск; Екатеринбург";Нет;
45;Да;2 холма;завод СтальМост;Зауралье;Урал;"Тюмень; Екатеринбург";Нет;
25;Да;река Тобол;врачи;Зауралье;Урал;Екатеринбург;Нет;
25;Да;природа;промышленность;Зауралье;Урал;Екатеринбург;Нет;
65;Да;2 холма;Илизаров;Зауралье;Урал;Екатеринбург;Да;Во время СССР
42;Да;семья;центр Илизарова;Урал;Урал;"Тюмень; Москва";Да;Менее года
42;Да;деревня;"Мальцев; Благонравов";Курганская область;Сибирь;"Москва; Екатеринбург";Нет;
55;Да;;Витебская поликлиника;Зауралье;Урал;"Челябинск; Москва";Да;Менее года
55;Да;развитие;центр Илизарова;Зауралье;Урал;"Тюмень; Петропавловск";Да;6-25 лет
42;Да;городской сад;центр Илизарова;Зауралье;Урал;"Тюмень; Екатеринбург; Петропавловск";Да;1-5 лет
42;Да;семья;оборонка;Урал;Урал;"Тюмень; Москва; Санкт-Петербург";Нет;
55;Да;развитие;"хорошие люди; СХ";Сибирь;Сибирь;"Петропавловск; Тюмень";Да;Менее года
42;Да;нет такого;артисты;Зауралье;Урал;"Сочи; Крым; Москва";Нет;
30;Да;центральный парк;Илизаров;Курганская область;Сибирь;"Челябинск; Тюмень";Да;1-5 лет
42;Да;центр Илизарова;"хорошие люди; оборонка";Урал;Урал;"Москва; Санкт-Петербург";Нет;
55;Да;нет такого;центр Илизарова;Сибирь;Сибирь;Нет;Да;6-25 лет
55;Да;семья;СХ;затрудняется;Урал;Москва;Да;Во время СССР
42;Да;площадь;оборонка;Сибирь;Сибирь;"Тюмень; Москва";Да;6-25 лет
30;Да;болото;Мальцев;Урал;Урал;Сургут;Нет;
42;Да;"центральный парк; филармония";хорошие люди;Зауралье;Урал;"Челябинск; Петропавловск";Да;1-5 лет
55;Да;нет такого;центр Илизарова;Зауралье;Урал;;;
30;Да;2 холма;масло;УФО;Сибирь;;;
30;Да;центр Илизарова;центр Илизарова;Зауралье;Урал;"Тюмень; Москва; Санкт-Петербург";;
30;Да;нет такого;центр Илизарова;Зауралье;Урал;"Екатеринбург; Тюмень; Москва";;
30;Да;центр Илизарова;центр Илизарова;Зауралье;Урал;Тюмень;;
30;Да;нет такого;Мальцев;Урал;Урал;;Да;Во время СССР
42;Да;2 холма;медицина;Зауралье;Урал;Екатеринбург;;
55;Да;"2 холма; куница";"КМЗ; КГУ; Кургансельмаш; центр Илизарова";Зауралье;между;;Да;Во время СССР
42;Нет;набережная;заводы;;Урал;"Тюмень; Судак; Анапа; Геленджик";;
42;Да;2 холма;центр Илизарова;Зауралье;Урал;"Тюмень; Екатеринбург";Да;
